Box Width,HTD Wrangle,HTD Transfer,Simulation,DTH Transfer,DTH Wrangle,CPU Time,GPU Time,Proportion CPU Time,,Wrangle Prop,Transfer Prop,Sim Prop,CPU Error
10,0,0,0,0,0,0,0,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!
20,0,0,0,0,0,2,0,1,,#DIV/0!,#DIV/0!,#DIV/0!
30,0,0,1,0,0,4,1,0.8,,0,0,1
40,1,0,1,0,0,9,2,0.8181818182,,0.5,0,0.5
50,1,0,1,0,0,15,2,0.8823529412,,0.5,0,0.5,0.05755
100,7,0,1,0,2,72,10,0.8780487805,,0.9,0,0.1,0.05756
200,29,1,5,0,11,341,46,0.8811369509,,0.8695652174,0.02173913043,0.1086956522,0.053711
300,66,2,9,1,25,868,103,0.8939237899,,0.8834951456,0.02912621359,0.08737864078,0.04371
400,117,3,17,2,44,1628,183,0.8989508559,,0.8797814208,0.02732240437,0.09289617486,0.04370
500,183,4,25,3,68,2741,283,0.9064153439,,0.8869257951,0.02473498233,0.08833922261,0.03849
750,401,7,662,6,158,7362,1234,0.8564448581,,0.4529983793,0.01053484603,0.5364667747,0.02894
1000,761,21,6647,10,279,14985,7718,0.660044928,,0.1347499352,0.004016584607,0.8612334802,0.02427
